,name,stats,current_players,peak_players,hours_played
0,Counter-Strike: Global Offensive,https://steamcharts.com/app/730,650332,1078860,450956325
1,Dota 2,https://steamcharts.com/app/570,620104,1038848,371137901
2,Lost Ark,https://steamcharts.com/app/1599340,217515,278961,128722998
3,Call of Duty®: Modern Warfare® II,https://steamcharts.com/app/1938090,173318,262875,63682589
4,PUBG: BATTLEGROUNDS,https://steamcharts.com/app/578080,114246,440651,138655584
5,Rust,https://steamcharts.com/app/252490,110032,133364,54292052
6,Apex Legends,https://steamcharts.com/app/1172470,108346,403157,124680445
7,New World,https://steamcharts.com/app/1063730,108185,137755,37658799
8,Team Fortress 2,https://steamcharts.com/app/440,103820,122875,65625631
9,Grand Theft Auto V,https://steamcharts.com/app/271590,88141,168100,67760721
10,War Thunder,https://steamcharts.com/app/236390,68268,88331,34324201
11,Football Manager 2023,https://steamcharts.com/app/1904540,66798,72118,14667697
12,EA SPORTS™ FIFA 23,https://steamcharts.com/app/1811260,60500,69726,24103083
13,Unturned,https://steamcharts.com/app/304930,56567,64134,40809944
14,ARK: Survival Evolved,https://steamcharts.com/app/346110,54985,76698,33142107
15,Destiny 2,https://steamcharts.com/app/1085660,49653,102690,38297531
16,Terraria,https://steamcharts.com/app/105600,45888,96215,37308782
17,Warhammer: Vermintide 2,https://steamcharts.com/app/552500,45061,104134,11296934
18,Sid Meier's Civilization VI,https://steamcharts.com/app/289070,44416,67118,24284391
19,DayZ,https://steamcharts.com/app/221100,44219,57176,22969480
20,The Sims™ 4,https://steamcharts.com/app/1222670,42213,96185,26928063
21,RimWorld,https://steamcharts.com/app/294100,41448,60742,23640909
22,Dead by Daylight,https://steamcharts.com/app/381210,41084,67565,29199620
23,Wallpaper Engine,https://steamcharts.com/app/431960,40078,116398,50519874
24,Mount & Blade II: Bannerlord,https://steamcharts.com/app/261550,39040,58611,19918934
25,PAYDAY 2,https://steamcharts.com/app/218620,38744,43850,22873772
26,Rocket League,https://steamcharts.com/app/252950,38570,40827,16821672
27,Hearts of Iron IV,https://steamcharts.com/app/394360,36211,56362,19891610
28,MIR4,https://steamcharts.com/app/1623660,34631,40859,26663758
29,Cyberpunk 2077,https://steamcharts.com/app/1091500,33708,75186,29933312
30,Garry's Mod,https://steamcharts.com/app/4000,33446,44316,16384881
31,Deep Rock Galactic,https://steamcharts.com/app/548430,33208,46392,10072428
32,Euro Truck Simulator 2,https://steamcharts.com/app/227300,31663,45544,15491417
33,Farming Simulator 22,https://steamcharts.com/app/1248130,31502,40880,12952327
34,Warframe,https://steamcharts.com/app/230410,28143,50303,23410390
35,ELDEN RING,https://steamcharts.com/app/1245620,27959,39325,17621477
36,The Elder Scrolls V: Skyrim Special Edition,https://steamcharts.com/app/489830,27612,34949,14786350
37,Stardew Valley,https://steamcharts.com/app/413150,27598,34649,16581742
38,Tom Clancy's Rainbow Six Siege,https://steamcharts.com/app/359550,27496,54769,19156993
39,7 Days to Die,https://steamcharts.com/app/251570,27468,41431,16489765
40,FINAL FANTASY XIV Online,https://steamcharts.com/app/39210,27137,37718,16108354
41,Victoria 3,https://steamcharts.com/app/529340,26641,69663,13992942
42,Total War: WARHAMMER III,https://steamcharts.com/app/1142710,26235,43903,17323425
43,FIFA 22,https://steamcharts.com/app/1506830,24166,34100,13481919
44,Football Manager 2022,https://steamcharts.com/app/1569040,23795,54506,20062735
45,Phasmophobia,https://steamcharts.com/app/739630,22822,34722,11069898
46,Spacewar,https://steamcharts.com/app/480,22782,31169,11972599
47,Project Zomboid,https://steamcharts.com/app/108600,22312,33491,14324260
48,Fallout 4,https://steamcharts.com/app/377160,21885,31142,14052653
